turbine_temp_c,oil_pressure_psi,vibration_hz,fuel_flow_rate,exhaust_gas_temp_c,fan_speed_rpm,compressor_ratio,n1_speed_pct,label
907.09,46.85,114.63,2112.32,609.74,3162.39,28.12,87.03,0
882.05,53.83,109.73,2259.65,616.85,3223.17,28.81,84.91,0
825.59,47.51,131.77,2593.96,639.06,3080.81,27.48,86.88,0
864.09,59.16,125.25,2394.43,590.5,3148.15,27.24,87.95,0
833.7,47.05,129.33,2238.38,579.89,3143.67,28.12,85.89,0
870.14,62.76,116.63,2168.34,607.41,3140.85,29.84,89.97,0
883.84,45.11,111.78,2331.49,616.82,3119.82,26.74,88.27,0
853.14,55.82,130.3,2232.82,585.57,3184.45,28.55,89.71,0
829.81,57.05,137.37,2112.41,626.38,3202.45,27.05,90.11,0
839.15,60.81,122.33,2315.9,607.02,3310.89,27.37,89.88,0
883.18,53.34,112.48,2095.02,576.56,3374.23,25.16,84.0,0
867.66,47.7,121.83,2223.31,617.5,3189.35,27.89,87.66,0
844.26,57.23,110.93,2475.38,636.87,3292.77,29.02,90.62,0
906.31,49.71,111.83,2223.14,623.16,3118.64,29.39,85.93,0
905.09,52.93,111.58,2119.7,657.48,3212.09,29.07,85.84,0
834.16,56.79,112.52,2382.6,590.38,3150.02,27.97,87.23,0
828.34,56.07,120.58,2207.35,575.5,3197.12,29.45,86.75,0
853.45,47.18,113.47,2060.84,638.08,3296.32,28.72,84.91,0
841.89,51.92,143.75,1927.93,602.45,3323.64,30.98,90.88,0
928.79,58.3,129.25,2333.08,607.63,3128.32,27.9,90.89,0
895.49,58.79,113.16,2220.03,588.9,3245.7,25.85,93.73,0
880.78,58.1,125.82,2179.92,631.95,3306.64,26.02,86.79,0
855.44,48.96,112.05,2396.14,624.14,3196.09,27.38,92.2,0
864.72,58.17,122.55,2120.46,575.66,3274.12,28.67,92.5,0
853.44,53.97,118.83,2208.35,635.99,3227.61,28.31,90.87,0
836.24,55.63,138.38,2154.07,648.51,3315.01,28.37,83.5,0
851.55,53.09,122.09,2010.44,647.51,3288.71,28.48,88.46,0
935.36,56.24,105.1,1896.07,660.0,3278.57,27.31,83.93,0
828.58,63.2,120.86,1876.09,646.43,3250.94,27.74,87.0,0
823.69,53.65,112.56,2106.81,631.98,3095.25,27.48,86.25,0
801.55,56.22,100.34,2184.74,652.67,3138.55,26.93,92.76,0
