core_temp_c,power_density_mw_mm2,thermal_resistance,leakage_current_ua,clock_freq_ghz,vdd_mv,ir_drop_mv,thermal_gradient,label
62.151,112.296,0.423,902.763,2.957,938.561,22.319,15.271,0
83.611,115.948,0.396,911.104,3.328,935.912,22.605,11.301,0
77.633,140.627,0.476,909.489,3.123,950.443,19.228,14.198,0
68.669,119.396,0.376,831.676,3.002,930.187,20.078,13.22,0
76.668,108.147,0.384,878.178,3.608,951.332,27.17,12.249,0
84.694,100.966,0.411,940.251,3.142,928.691,16.335,8.444,0
81.173,139.944,0.424,925.284,3.377,952.714,13.828,11.579,0
79.664,125.92,0.483,954.829,3.209,929.162,20.678,11.876,0
75.979,153.469,0.482,842.241,3.23,920.251,18.803,13.22,0
55.84,132.618,0.432,966.123,3.236,979.245,17.658,11.891,0
63.145,147.681,0.436,950.535,3.367,959.636,17.401,8.84,0
67.862,143.774,0.535,919.793,3.54,951.345,14.37,7.758,0
66.03,105.226,0.476,922.75,3.053,957.068,20.885,10.536,0
76.439,116.71,0.445,907.734,3.271,984.802,18.096,7.725,0
72.782,95.557,0.44,771.584,3.238,912.697,26.041,13.055,0
84.367,143.178,0.417,892.261,3.123,952.163,22.616,15.354,0
92.464,112.883,0.452,862.834,3.174,957.495,21.852,11.178,0
113.397,229.143,0.689,2285.946,3.287,1032.757,45.937,33.271,1
84.31,118.723,0.446,687.768,3.043,919.988,19.454,11.27,0
57.961,121.202,0.451,875.525,3.332,955.639,20.912,14.046,0
81.728,144.615,0.375,861.587,3.433,982.203,13.508,15.124,0
78.773,126.214,0.397,856.731,2.658,948.422,10.276,7.325,0
80.419,129.159,0.426,864.726,3.134,979.125,18.562,15.935,0
79.517,124.867,0.495,928.169,3.142,938.402,20.189,13.487,0
68.564,108.308,0.375,894.432,3.318,941.956,17.89,11.366,0
80.902,133.191,0.377,845.275,3.032,919.757,20.366,11.937,0
81.189,105.797,0.512,905.918,3.176,919.934,18.543,14.019,0
74.11,92.247,0.466,866.129,2.888,968.249,14.601,12.054,0
83.825,133.647,0.423,778.906,3.098,955.879,22.009,13.383,0
70.051,120.962,0.412,886.791,2.999,981.372,10.762,10.627,0
78.651,129.818,0.435,845.397,3.183,968.386,20.441,7.673,0
82.438,122.007,0.454,866.87,3.444,968.119,22.269,12.4,0
92.916,135.232,0.48,977.808,3.079,986.383,23.155,12.202,0
83.302,130.88,0.457,859.732,3.301,973.452,15.221,18.163,0
75.662,143.383,0.414,866.258,3.097,955.661,21.072,12.855,0
69.91,132.769,0.46,788.01,3.133,953.801,16.901,14.737,0
73.16,122.52,0.382,866.812,3.195,952.595,15.133,11.474,0
64.27,113.562,0.47,844.898,3.13,930.213,23.046,7.794,0
53.514,118.046,0.427,876.014,3.293,951.604,20.301,15.961,0
74.532,128.946,0.364,855.96,3.08,960.508,14.959,11.993,0
71.638,86.564,0.449,799.152,3.381,968.097,12.873,7.241,0
63.925,109.825,0.405,639.617,2.902,899.699,15.7,13.707,0
78.338,107.697,0.491,958.276,3.219,1003.097,22.924,8.955,0
70.993,126.128,0.525,959.361,3.654,879.866,24.245,15.531,0
80.582,110.941,0.395,936.243,3.023,945.433,22.633,13.542,0
80.945,128.844,0.458,823.284,3.208,936.785,15.938,12.592,0
71.765,129.933,0.517,900.945,3.149,936.842,17.297,10.244,0
61.342,119.407,0.455,832.755,3.334,981.851,19.555,12.885,0
63.717,133.383,0.415,878.973,3.352,936.376,10.963,15.759,0
88.3,67.986,0.442,866.852,3.187,959.975,19.438,1.65,0
74.146,118.886,0.42,844.151,3.005,944.376,21.643,6.7,0
76.114,137.937,0.378,753.095,3.064,943.593,17.346,9.703,0
69.991,121.052,0.47,729.112,3.08,930.882,9.744,8.486,0
65.971,107.344,0.46,880.472,2.775,982.656,16.436,16.203,0
84.744,117.891,0.47,859.924,3.523,950.03,23.347,9.444,0
83.283,106.118,0.496,790.533,3.273,907.309,18.333,15.973,0
69.324,108.331,0.445,773.751,2.966,921.5,24.085,10.499,0
75.11,127.829,0.445,721.593,3.31,901.003,27.438,13.24,0
60.606,89.905,0.39,839.076,3.188,905.289,16.619,12.821,0
73.047,118.948,0.484,807.518,2.894,926.617,27.341,9.594,0
65.489,132.753,0.455,933.275,3.144,928.743,19.906,11.877,0
76.321,103.049,0.437,911.256,3.466,986.205,17.08,9.604,0
75.631,96.522,0.474,826.196,3.152,979.289,17.993,9.439,0
93.149,192.286,0.603,3291.302,2.845,972.071,22.724,29.884,1
74.041,139.42,0.452,758.854,3.029,935.839,17.516,18.425,0
81.884,123.645,0.409,863.369,3.179,946.018,18.942,13.209,0
82.582,129.095,0.406,814.402,3.344,932.491,20.924,13.183,0
67.064,106.196,0.44,833.913,3.305,984.806,21.899,13.069,0
75.033,102.387,0.459,1093.026,3.3,989.415,18.507,7.095,0
73.895,106.133,0.527,850.55,3.15,981.521,19.009,12.591,0
70.121,127.67,0.448,815.963,3.386,921.578,23.493,14.771,0
79.254,112.073,0.363,730.375,3.152,919.369,21.31,15.312,0
55.123,126.43,0.336,693.216,3.305,1005.235,21.979,8.927,0
